Pair: ['2', '7', '8', '9', '10', '25'], Strong number: 6 
Pair: ['11', '13', '16', '20', '29', '37'], Strong number: 3 
Pair: ['2', '3', '14', '31', '35', '37'], Strong number: 4 
Pair: ['7', '12', '16', '26', '28', '30'], Strong number: 5 
Pair: ['2', '3', '9', '10', '16', '20'], Strong number: 6 
Pair: ['4', '10', '14', '29', '33', '35'], Strong number: 2 
Pair: ['1', '8', '11', '25', '31', '33'], Strong number: 7 
Pair: ['4', '10', '11', '26', '29', '37'], Strong number: 2 
Pair: ['5', '12', '14', '23', '25', '29'], Strong number: 4 
Pair: ['2', '5', '9', '11', '26', '29'], Strong number: 7 
Pair: ['2', '4', '12', '22', '27', '36'], Strong number: 3 
Pair: ['1', '3', '4', '19', '20', '34'], Strong number: 5 
Pair: ['3', '10', '20', '31', '32', '36'], Strong number: 4 
Pair: ['2', '5', '9', '10', '14', '35'], Strong number: 5 
Pair: ['8', '11', '22', '25', '30', '32'], Strong number: 5 
Pair: ['8', '12', '14', '25', '29', '32'], Strong number: 1 
Pair: ['3', '12', '13', '16', '17', '25'], Strong number: 6 
Pair: ['5', '11', '22', '23', '31', '36'], Strong number: 5 
Pair: ['5', '14', '18', '21', '32', '34'], Strong number: 5 
Pair: ['14', '15', '19', '23', '24', '30'], Strong number: 1 
Pair: ['1', '5', '10', '12', '20', '32'], Strong number: 5 
Pair: ['3', '9', '15', '19', '21', '23'], Strong number: 7 
Pair: ['9', '11', '12', '19', '21', '30'], Strong number: 6 
Pair: ['4', '5', '15', '17', '25', '31'], Strong number: 5 
Pair: ['3', '7', '12', '13', '23', '35'], Strong number: 6 
Pair: ['10', '22', '24', '27', '29', '34'], Strong number: 7 
Pair: ['3', '7', '11', '21', '35', '36'], Strong number: 2 
Pair: ['7', '10', '11', '22', '31', '32'], Strong number: 6 
Pair: ['2', '10', '12', '19', '23', '34'], Strong number: 5 
Pair: ['12', '27', '29', '30', '33', '34'], Strong number: 4 
Pair: ['5', '6', '10', '17', '24', '27'], Strong number: 2 
Pair: ['5', '6', '12', '14', '34', '35'], Strong number: 7 
Pair: ['1', '11', '23', '25', '32', '33'], Strong number: 1 
Pair: ['1', '12', '18', '28', '29', '33'], Strong number: 1 
Pair: ['3', '16', '20', '28', '34', '36'], Strong number: 3 
Pair: ['6', '7', '9', '18', '21', '31'], Strong number: 7 
Pair: ['1', '5', '9', '12', '18', '36'], Strong number: 6 
Pair: ['4', '5', '9', '18', '19', '35'], Strong number: 2 
Pair: ['1', '26', '28', '31', '34', '36'], Strong number: 3 
Pair: ['10', '14', '17', '20', '31', '36'], Strong number: 5 
Pair: ['2', '6', '29', '30', '31', '32'], Strong number: 2 
Pair: ['4', '8', '17', '20', '24', '32'], Strong number: 3 
Pair: ['6', '7', '14', '27', '31', '32'], Strong number: 6 
Pair: ['6', '17', '24', '25', '30', '34'], Strong number: 7 
Pair: ['6', '8', '13', '20', '34', '35'], Strong number: 6 
Pair: ['6', '11', '15', '16', '17', '22'], Strong number: 7 
Pair: ['6', '14', '20', '28', '33', '34'], Strong number: 7 
Pair: ['7', '11', '30', '31', '33', '35'], Strong number: 6 
Pair: ['13', '22', '25', '26', '33', '37'], Strong number: 3 
Pair: ['3', '6', '14', '19', '34', '35'], Strong number: 3 
Pair: ['4', '16', '26', '29', '35', '37'], Strong number: 6 
Pair: ['5', '18', '19', '23', '24', '35'], Strong number: 2 
Pair: ['4', '5', '6', '25', '26', '28'], Strong number: 7 
Pair: ['2', '5', '9', '12', '15', '16'], Strong number: 4 
Pair: ['11', '17', '25', '26', '27', '32'], Strong number: 4 
Pair: ['10', '13', '16', '29', '30', '35'], Strong number: 4 
Pair: ['3', '12', '13', '16', '29', '34'], Strong number: 1 
Pair: ['4', '9', '10', '15', '26', '27'], Strong number: 2 
Pair: ['4', '9', '17', '25', '33', '37'], Strong number: 6 
Pair: ['4', '5', '6', '31', '33', '36'], Strong number: 7 
Pair: ['6', '9', '22', '25', '31', '34'], Strong number: 4 
Pair: ['2', '3', '4', '5', '11', '15'], Strong number: 3 
Pair: ['2', '5', '15', '24', '32', '33'], Strong number: 3 
Pair: ['12', '13', '22', '25', '28', '36'], Strong number: 2 
Pair: ['5', '7', '10', '16', '31', '32'], Strong number: 4 
Pair: ['5', '11', '13', '19', '32', '37'], Strong number: 5 
Pair: ['5', '7', '13', '17', '25', '32'], Strong number: 4 
Pair: ['3', '15', '17', '21', '26', '29'], Strong number: 6 
Pair: ['5', '16', '18', '26', '29', '35'], Strong number: 4 
Pair: ['2', '12', '14', '15', '33', '37'], Strong number: 3 
Pair: ['5', '6', '11', '18', '19', '35'], Strong number: 2 
Pair: ['9', '17', '20', '21', '30', '33'], Strong number: 7 
Pair: ['6', '21', '24', '27', '28', '37'], Strong number: 6 
Pair: ['4', '10', '11', '13', '20', '32'], Strong number: 1 
Pair: ['1', '15', '17', '29', '33', '34'], Strong number: 2 
Pair: ['9', '11', '14', '20', '31', '33'], Strong number: 1 
Pair: ['6', '7', '15', '19', '27', '33'], Strong number: 7 
Pair: ['2', '7', '10', '13', '25', '34'], Strong number: 6 
Pair: ['2', '7', '14', '17', '19', '28'], Strong number: 4 
Pair: ['3', '20', '23', '25', '32', '35'], Strong number: 5 
Pair: ['1', '9', '13', '20', '22', '36'], Strong number: 5 
Pair: ['9', '12', '17', '18', '20', '36'], Strong number: 7 
Pair: ['9', '16', '22', '27', '30', '34'], Strong number: 6 
Pair: ['2', '6', '14', '17', '25', '33'], Strong number: 3 
Pair: ['8', '13', '16', '19', '23', '36'], Strong number: 1 
Pair: ['1', '11', '15', '19', '21', '32'], Strong number: 2 
Pair: ['14', '18', '21', '27', '28', '34'], Strong number: 3 
Pair: ['6', '9', '12', '14', '25', '29'], Strong number: 7 
Pair: ['8', '19', '25', '30', '31', '36'], Strong number: 2 
Pair: ['6', '8', '9', '20', '23', '28'], Strong number: 7 
Pair: ['7', '13', '24', '26', '35', '37'], Strong number: 7 
Pair: ['2', '15', '17', '27', '34', '37'], Strong number: 1 
Pair: ['11', '12', '13', '16', '34', '36'], Strong number: 6 
Pair: ['7', '13', '19', '21', '25', '37'], Strong number: 6 
Pair: ['4', '8', '9', '10', '15', '24'], Strong number: 7 
Pair: ['1', '7', '8', '11', '12', '25'], Strong number: 2 
Pair: ['6', '12', '15', '19', '26', '27'], Strong number: 4 
Pair: ['9', '14', '15', '23', '27', '33'], Strong number: 2 
Pair: ['1', '12', '15', '19', '27', '31'], Strong number: 4 
Pair: ['1', '15', '16', '31', '32', '33'], Strong number: 2 
